id,road,kmi,kmf,contract,uf
1,SP-127,158.3,213.15,2476,SP
2,SP-258,222.8,342.67,2476,SP
3,SP-270,158.5,168.21,2476,SP
4,BR-101,0.0,87.0,2475,RS
5,BR-290,0.0,98.0,2475,RS
6,BR-386,0.0,87.0,2475,RS
7,BR-448,0.0,21.0,2475,RS
8,SP-253,90.412,135.5,2465,SP
9,SP-253,142.0,204.29,2465,SP
10,SP-271,0.0,19.9,2465,SP
11,SP-291,0.0,26.34,2465,SP
12,SP-328,237.2,260.95,2465,SP
13,SP-328,337.01,388.34,2465,SP
14,SP-332,289.61,301.52,2465,SP
15,SP-333,0.0,55.0,2465,SP
16,SP-334,406.0,465.4,2465,SP
17,SP-336,378.27,399.07,2465,SP
18,SP-338,292.0,337.27,2465,SP
19,SP-345,0.0,10.5,2465,SP
20,SP-345,39.1,122.67,2465,SP
21,SP-351,0.0,103.9,2465,SP
22,SP-373,103.9,135.72,2465,SP
23,SP-385,0.0,19.26,2465,SP
24,SPA-002/333,0.0,0.68,2465,SP
25,SPA-003/351,0.0,8.0,2465,SP
26,SPA-007/271,0.0,0.95,2465,SP
27,SPA-010/291,0.0,0.65,2465,SP
28,SPA-012/351,0.0,8.5,2465,SP
29,SPA-015/333,0.0,0.5,2465,SP
30,SPA-024/333,0.0,5.0,2465,SP
31,SPA-025/351,0.0,1.16,2465,SP
32,SPA-026/291,0.0,0.42,2465,SP
33,SPA-033/351,0.0,9.25,2465,SP
34,SPA-039/333,0.0,1.49,2465,SP
35,SPA-048/351,0.0,1.44,2465,SP
36,SPA-059/345,0.0,4.5,2465,SP
37,SPA-098/333,0.0,3.04,2465,SP
38,SPA-101/345,0.0,5.44,2465,SP
39,SPA-103/351,0.0,1.04,2465,SP
40,SPA-129/253,0.0,0.3,2465,SP
41,SPA-193/253,0.0,2.42,2465,SP
42,SPA-194/253,0.0,0.7,2465,SP
43,SPA-197/253,0.0,2.92,2465,SP
44,SPA-238/328,0.0,1.3,2465,SP
45,SPA-244/328,0.0,2.18,2465,SP
46,SPA-250/328,0.0,4.93,2465,SP
47,SPA-309/338,0.0,0.86,2465,SP
48,SPA-310/338,0.0,14.1,2465,SP
49,SPA-355/330,6.077,18.4,2465,SP
50,SPA-407/334,0.0,19.7,2465,SP
51,SPA-420/334,0.0,17.6,2465,SP
52,SPA-455/334,0.0,1.6,2465,SP
53,SPA-457/334,0.0,5.82,2465,SP
54,BR-262,489.0,781.6,2463,MS
55,BR-419,249.0,333.0,2463,MS
56,BR-359,524.5,529.8,2463,MS
57,BR-040,0.0,24.7,2459,RJ
58,BR-354,0.0,26.1,2459,RJ
59,BR-356,0.0,187.7,2459,RJ
60,BR-393,101.9,286.4,2459,RJ
61,BR-393,296.6,300.3,2459,RJ
62,BR-485,0.0,13.7,2459,RJ
63,BR-485,34.0,40.9,2459,RJ
64,BR-495,0.0,33.5,2459,RJ
65,BR-376,202.0,549.0,2473,PR
66,BR-373,164.0,184.0,2473,PR
67,BR-369,181.0,216.0,2473,PR
68,BR-323,0.0,60.0,2473,PR
69,BR-090,377.0,404.0,2473,PR
70,BR-445,0.0,94.0,2473,PR
71,RJ-071,0.0,14.3,2479,RJ
72,RJ-079,0.0,6.5,2479,RJ
73,RJ-081,0.0,22.3,2479,RJ
74,RJ-085,0.0,38.4,2479,RJ
75,RJ-093,0.0,38.7,2479,RJ
76,RJ-099,0.0,15.5,2479,RJ
77,RJ-100,0.0,15.3,2479,RJ
78,RJ-101,0.0,12.6,2479,RJ
79,RJ-102,0.0,163.3,2479,RJ
80,RJ-104,0.0,20.0,2479,RJ
81,RJ-105,0.0,41.3,2479,RJ
82,RJ-106,0.0,199.8,2479,RJ
83,RJ-107,0.0,25.1,2479,RJ
84,RJ-108,0.0,5.2,2479,RJ
85,RJ-110,0.0,2.2,2479,RJ
86,RJ-111,0.0,20.5,2479,RJ
87,RJ-113,0.0,21.9,2479,RJ
88,RJ-114,0.0,32.7,2479,RJ
89,RJ-115,0.0,116.9,2479,RJ
90,RJ-116,0.0,268.6,2479,RJ
91,RJ-117,0.0,41.1,2479,RJ
92,RJ-118,0.0,25.7,2479,RJ
93,RJ-120,0.0,10.6,2479,RJ
94,RJ-121,0.0,27.0,2479,RJ
95,RJ-122,0.0,35.9,2479,RJ
96,RJ-123,0.0,61.1,2479,RJ
97,RJ-124,0.0,67.2,2479,RJ
98,MS-112,71.0,208.0,2460,MS
99,MS-135,120.5,123.1,2460,MS
100,MS-215,0.0,15.1,2460,MS
101,MS-223,0.0,239.2,2460,MS
102,MS-240,0.0,80.5,2460,MS
103,MS-316,0.0,365.5,2460,MS
104,MS-359,0.0,6.0,2460,MS
105,MS-377,89.4,128.2,2460,MS
106,MS-425,30.3,45.3,2460,MS
107,MS-431,0.0,14.2,2460,MS
108,MS-497,0.0,20.0,2460,MS
109,PR-082,278.4,303.93,2453,PR
110,PR-082,304.53,312.65,2453,PR
111,PR-082,339.59,382.51,2453,PR
112,PR-090,405.09,421.6,2453,PR
113,PR-090,424.3,469.92,2453,PR
114,PR-170,0.0,79.55,2453,PR
115,PR-170,108.36,120.01,2453,PR
116,PR-170,120.41,176.28,2453,PR
117,PR-218,176.87,197.07,2453,PR
118,PR-218,234.68,261.42,2453,PR
119,PR-218,259.13,261.42,2453,PR
120,PR-272,199.83,254.64,2453,PR
121,PR-323,82.0,86.97,2453,PR
122,PR-340,335.02,363.48,2453,PR
123,PR-340,553.69,558.46,2453,PR
124,PR-340,559.19,621.8,2453,PR
125,PR-437,0.0,49.91,2453,PR
126,PR-445,0.0,49.94,2453,PR
127,PR-445,51.97,82.23,2453,PR
128,PR-445,95.8,117.01,2453,PR
129,PR-445,119.85,130.76,2453,PR
130,PR-445,130.45,145.76,2453,PR
131,PR-450,0.0,24.24,2453,PR
132,PR-451,0.0,22.4,2453,PR
133,PR-453,4.53,11.03,2453,PR
134,PR-454,0.0,20.38,2453,PR
135,PR-457,74.06,77.07,2453,PR
136,PR-466,56.18,64.26,2453,PR
137,PR-466,80.79,132.65,2453,PR
138,PR-532,6.58,14.64,2453,PR
139,PR-532,25.78,35.85,2453,PR
140,PR-534,27.2,32.01,2453,PR
141,PR-534,32.61,51.77,2453,PR
142,PR-535,0.0,19.5,2453,PR
143,PR-536,30.02,39.47,2453,PR
144,PR-537,0.0,24.46,2453,PR
145,PR-538,9.85,24.7,2453,PR
146,PR-538,25.39,29.22,2453,PR
147,PR-538,34.37,39.08,2453,PR
148,PR-538,39.99,48.56,2453,PR
149,PR-539,0.0,21.08,2453,PR
150,PR-542,0.0,19.35,2453,PR
151,PR-543,0.0,7.98,2453,PR
152,PR-545,0.0,9.99,2453,PR
153,PR-547,0.12,2.69,2453,PR
154,PR-547,18.61,24.7,2453,PR
155,PR-650,0.0,33.16,2453,PR
156,PR-846,0.0,4.27,2453,PR
157,PR-848,0.0,11.61,2453,PR
158,PR-850,0.0,7.15,2453,PR
159,PR-937,0.0,3.54,2453,PR
160,PR-980,0.0,3.0,2453,PR
161,SP-340,114.1,281.77,2470,SP
162,SP-350,238.412,272.1,2470,SP
163,SP-215,29.755,49.94,2470,SP
164,SP-344,200.1,242.6,2470,SP
165,SP-342,171.5,251.15,2470,SP
